Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.032980,9.049530,8.755740,8.768150,5.737577,159964607
2010-01-05,8.859190,8.929530,8.602640,8.834360,5.780902,278278034
2010-01-06,8.809530,8.813670,8.639880,8.660570,5.667181,233894449
2010-01-07,8.639880,8.706090,8.399880,8.466090,5.539919,205990015
2010-01-08,8.416440,8.606780,8.399880,8.561260,5.602195,158795668
2010-01-11,8.937810,9.020570,8.511610,8.561260,5.602195,281073839
2010-01-12,8.536430,8.677120,8.383330,8.606780,5.631981,199017998
2010-01-13,8.379190,8.420570,8.192990,8.205400,5.369333,353804116
2010-01-14,8.221960,8.284020,8.126780,8.263330,5.407240,186909441
2010-01-15,8.284020,8.379190,8.159890,8.292300,5.426197,167196170
2010-01-18,8.238510,8.395750,8.221960,8.375060,5.480352,169024525
2010-01-19,8.379190,8.519880,8.362640,8.420570,5.510132,169087168
2010-01-20,8.449540,8.495060,8.110230,8.188850,5.358502,195212592
2010-01-21,8.226090,8.511610,8.176440,8.470230,5.542628,225763730
2010-01-22,8.358510,8.730910,8.279890,8.648160,5.659060,373249590
2010-01-25,8.507470,8.681260,8.449540,8.466090,5.539919,193898427
2010-01-26,8.478500,8.648160,8.346090,8.561260,5.602195,222183082
2010-01-27,8.552990,8.606780,8.184710,8.217820,5.377460,227808686
2010-01-28,8.184710,8.213680,8.019200,8.151610,5.334134,141840241
2010-01-29,8.110230,8.292300,8.060580,8.118510,5.312475,129752874
2010-02-01,8.118510,8.118510,7.861960,7.952990,5.204164,124869487
2010-02-02,7.998510,8.151610,7.932300,7.961270,5.209582,118344811
2010-02-03,7.990230,8.246780,7.866100,8.230230,5.385581,184860814
2010-02-04,8.114370,8.230230,8.110230,8.135060,5.323305,111559945
2010-02-05,7.944720,8.143340,7.928170,8.035750,5.258319,106083352
2010-02-08,8.048160,8.068850,7.895060,7.952990,5.204164,89976114
2010-02-09,7.944720,8.064720,7.932300,8.035750,5.258319,64033342
2010-02-10,8.106100,8.172300,8.068850,8.143340,5.328722,74215637
2010-02-11,8.147470,8.192990,8.106100,8.126780,5.317886,66158352
2010-02-12,8.164030,8.226090,8.135060,8.197130,5.363920,71733727
2010-02-22,8.164030,8.217820,8.101960,8.143340,5.328722,80792043
2010-02-23,8.130920,8.130920,7.965410,8.064720,5.277276,73880808
2010-02-24,8.006790,8.143340,7.961270,8.135060,5.323305,94198998
2010-02-25,8.172300,8.606780,8.172300,8.581950,5.615733,469990089
2010-02-26,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-01,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-02,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-03,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-04,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-05,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-08,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-09,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-10,8.581950,8.581950,8.581950,8.581950,5.615733,0
2010-03-11,8.689540,9.020570,8.648160,8.813670,5.767364,556497760
