Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.090000,6.120000,5.970000,6.050000,5.340755,40235931
2010-01-05,6.050000,6.140000,5.940000,6.100000,5.384894,39543729
2010-01-06,6.100000,6.180000,6.000000,6.010000,5.305445,40145142
2010-01-07,5.980000,6.040000,5.810000,5.840000,5.155375,40873723
2010-01-08,5.820000,5.900000,5.760000,5.890000,5.199512,22256686
2010-01-11,5.990000,6.040000,5.800000,5.860000,5.173029,27969812
2010-01-12,5.850000,6.050000,5.790000,6.030000,5.323101,50740554
2010-01-13,5.920000,6.060000,5.850000,5.930000,5.234823,41905137
2010-01-14,5.920000,6.300000,5.920000,6.230000,5.499654,94482782
2010-01-15,6.220000,6.370000,6.170000,6.190000,5.464343,72455434
2010-01-18,6.160000,6.540000,6.160000,6.440000,5.685036,89347882
2010-01-19,6.470000,6.490000,6.350000,6.420000,5.667380,48566091
2010-01-20,6.420000,6.470000,6.100000,6.180000,5.455515,59292587
2010-01-21,6.180000,6.390000,6.180000,6.340000,5.596759,55766691
2010-01-22,6.280000,6.520000,6.150000,6.270000,5.534965,78121531
2010-01-25,6.220000,6.310000,6.110000,6.180000,5.455515,27803813
2010-01-26,6.180000,6.200000,5.840000,5.880000,5.190684,31452704
2010-01-27,5.870000,6.030000,5.680000,5.900000,5.208340,29286683
2010-01-28,5.850000,6.200000,5.840000,6.100000,5.384894,40057409
2010-01-29,6.060000,6.200000,5.970000,6.090000,5.376066,26619212
2010-02-01,6.050000,6.200000,6.000000,6.200000,5.473171,31871151
2010-02-02,6.210000,6.310000,6.070000,6.100000,5.384894,25625453
2010-02-03,6.120000,6.190000,5.800000,6.170000,5.446688,35768968
2010-02-04,6.140000,6.280000,6.060000,6.190000,5.464343,37055247
2010-02-05,6.060000,6.380000,6.000000,6.280000,5.543792,67206161
2010-02-08,6.280000,6.510000,6.250000,6.270000,5.534965,69793008
2010-02-09,6.280000,6.320000,6.160000,6.280000,5.543792,25494938
2010-02-10,6.300000,6.450000,6.290000,6.390000,5.640897,44962043
2010-02-11,6.400000,6.400000,6.170000,6.190000,5.464343,36897757
2010-02-12,6.190000,6.380000,6.150000,6.310000,5.570276,32821637
2010-02-22,6.300000,6.750000,6.260000,6.620000,5.843934,126728758
2010-02-23,6.620000,6.620000,6.620000,6.620000,5.843934,0
