Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,19.200001,19.350000,18.510000,18.540001,15.824512,131466419
2010-01-05,18.700001,19.650000,18.280001,19.240000,16.421984,200276318
2010-01-06,19.350000,19.500000,19.010000,19.040001,16.251280,132011959
2010-01-07,18.990000,19.250000,18.459999,18.600000,15.875720,112582948
2010-01-08,18.410000,19.080000,18.299999,18.930000,16.157389,87882784
2010-01-11,20.700001,20.700001,18.990000,19.129999,16.328094,407609214
2010-01-12,18.900000,19.299999,18.450001,19.150000,16.345165,186045174
2010-01-13,18.420000,18.770000,18.100000,18.170000,15.508700,236145445
2010-01-14,18.200001,18.559999,17.900000,18.379999,15.687943,120664178
2010-01-15,18.400000,18.510000,18.070000,18.280001,15.602592,88957424
2010-01-18,18.110001,18.110001,17.500000,17.799999,15.192894,186735149
2010-01-19,17.780001,18.260000,17.780001,18.070000,15.423347,107630149
2010-01-20,18.049999,18.150000,17.600000,17.670000,15.081938,103728626
2010-01-21,17.660000,17.940001,17.510000,17.790001,15.184361,69993013
2010-01-22,17.500000,17.559999,16.860001,17.270000,14.740521,106212623
2010-01-25,17.230000,17.879999,17.170000,17.559999,14.988048,89347997
2010-01-26,17.610001,17.730000,17.110001,17.500000,14.936835,75827647
2010-01-27,17.600000,17.670000,17.129999,17.160000,14.646633,62126009
2010-01-28,17.150000,17.200001,16.500000,16.809999,14.347897,79107801
2010-01-29,16.650000,17.420000,16.540001,16.990000,14.501533,93961251
2010-02-01,16.879999,17.090000,16.290001,16.549999,14.125978,94433665
2010-02-02,16.670000,17.040001,16.510000,16.570000,14.143046,77108508
2010-02-03,16.700001,17.209999,16.350000,17.200001,14.680772,99413105
2010-02-04,17.030001,17.219999,16.910000,17.090000,14.586886,67398432
2010-02-05,16.700001,16.889999,16.480000,16.670000,14.228401,62870898
2010-02-08,16.680000,17.100000,16.570000,16.870001,14.399111,62891942
2010-02-09,16.830000,17.150000,16.760000,17.030001,14.535674,49070394
2010-02-10,17.200001,17.570000,17.090000,17.540001,14.970977,80162772
2010-02-11,17.549999,17.590000,17.309999,17.389999,14.842946,52865706
2010-02-12,17.480000,17.570000,17.190001,17.389999,14.842946,51495190
2010-02-22,17.480000,17.740000,17.230000,17.469999,14.911229,67395340
2010-02-23,17.379999,17.379999,16.700001,17.000000,14.510067,70977471
2010-02-24,16.820000,17.200001,16.760000,17.190001,14.672239,50168927
2010-02-25,17.209999,17.510000,17.150000,17.400000,14.851481,108144188
2010-02-26,17.299999,17.350000,17.000000,17.070000,14.569815,68522730
2010-03-01,17.000000,17.260000,16.920000,17.180000,14.663705,54170801
2010-03-02,17.200001,17.240000,16.900000,16.959999,14.475926,50898006
2010-03-03,16.959999,17.290001,16.820000,17.200001,14.680772,66546321
2010-03-04,17.190001,17.219999,16.620001,16.670000,14.228401,77576059
2010-03-05,16.750000,17.190001,16.750000,16.940001,14.458858,83554544
2010-03-08,16.990000,16.990000,16.760000,16.870001,14.399111,46978980
2010-03-09,16.850000,17.100000,16.680000,16.990000,14.501533,49879505
2010-03-10,17.020000,17.280001,16.930000,17.040001,14.544209,60315802
2010-03-11,17.100000,17.420000,16.959999,17.309999,14.774663,105401832
2010-03-12,17.309999,17.370001,17.040001,17.070000,14.569815,68297911
2010-03-15,17.049999,17.150000,16.809999,16.990000,14.501533,44639520
2010-03-16,16.940001,17.139999,16.860001,17.059999,14.561280,41459903
2010-03-17,17.110001,17.400000,17.000000,17.379999,14.834410,84014219
2010-03-18,17.410000,17.480000,17.180000,17.230000,14.706383,72041014
2010-03-19,17.250000,17.299999,17.010000,17.270000,14.740521,61443468
2010-03-22,17.350000,17.379999,17.090000,17.160000,14.646633,77858643
2010-03-23,17.160000,17.190001,16.799999,16.870001,14.399111,83203284
2010-03-24,16.879999,17.049999,16.879999,16.910000,14.433250,41281042
2010-03-25,16.850000,16.850000,16.400000,16.459999,14.049159,81173004
2010-03-26,16.459999,16.760000,16.299999,16.600000,14.168654,54749288
2010-03-29,16.809999,17.170000,16.799999,17.070000,14.569815,100553400
2010-03-30,17.080000,17.139999,16.950001,17.040001,14.544209,46830964
2010-03-31,17.150000,17.240000,16.850000,16.900000,14.424714,62068792
2010-04-01,16.930000,17.020000,16.799999,16.959999,14.475926,79882760
2010-04-02,16.969999,17.000000,16.680000,16.770000,14.313754,105709251
2010-04-06,16.790001,16.950001,16.709999,16.790001,14.330827,58542595
2010-04-07,16.730000,16.790001,16.480000,16.570000,14.143046,68924243
2010-04-08,16.520000,16.520000,16.200001,16.290001,13.904060,94035627
2010-04-09,16.330000,16.450001,16.270000,16.370001,13.972343,53898883
2010-04-12,16.389999,16.450001,16.100000,16.150000,13.784563,67823861
2010-04-13,16.200001,16.620001,16.200001,16.559999,14.134513,94635075
2010-04-14,16.600000,16.600000,16.379999,16.450001,14.040626,46467894
2010-04-15,16.500000,16.610001,16.389999,16.559999,14.134513,71807961
2010-04-16,16.590000,16.590000,16.150000,16.190001,13.818707,55587162
