Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.335980,5.404770,5.257370,5.257370,3.201661,169277209
2010-01-05,5.286850,5.355630,5.227880,5.306500,3.231581,145916673
2010-01-06,5.306500,5.306500,5.237710,5.247540,3.195675,104540705
2010-01-07,5.237710,5.277020,5.100140,5.119790,3.117877,160763896
2010-01-08,5.100140,5.149270,5.090310,5.139440,3.129844,100947113
2010-01-11,5.424420,5.444080,5.159100,5.208230,3.171736,239875417
2010-01-12,5.208230,5.267190,5.119790,5.247540,3.195675,171615165
2010-01-13,5.109960,5.149270,4.933080,5.001870,3.046065,400894113
2010-01-14,5.031350,5.051000,4.952730,5.001870,3.046065,179162575
2010-01-15,5.011690,5.031350,4.962560,4.992040,3.040079,145610064
2010-01-18,4.972390,4.992040,4.913430,4.992040,3.040079,189542221
2010-01-19,4.992040,5.041170,4.962560,4.972390,3.028113,169733339
2010-01-20,5.001870,5.011690,4.824980,4.844640,2.950315,229773423
2010-01-21,4.913430,4.952730,4.874120,4.933080,3.004173,208756575
2010-01-22,4.893770,5.051000,4.864290,4.992040,3.040079,346080036
2010-01-25,4.933080,5.051000,4.923250,4.942910,3.010160,149970851
2010-01-26,4.942910,4.972390,4.874120,4.903600,2.986220,161894999
2010-01-27,4.923250,4.933080,4.756200,4.815160,2.932361,153543135
2010-01-28,4.795500,4.834810,4.726720,4.775850,2.908422,123075345
2010-01-29,4.756200,4.815160,4.746370,4.766020,2.902436,99853815
2010-02-01,4.756200,4.766020,4.677580,4.716890,2.872516,107380130
2010-02-02,4.726720,4.795500,4.697230,4.716890,2.872516,108647739
2010-02-03,4.726720,4.864290,4.687410,4.834810,2.944328,199041535
2010-02-04,4.795500,4.834810,4.775850,4.795500,2.920389,77924048
2010-02-05,4.726720,4.746370,4.707060,4.736540,2.884483,116045718
2010-02-08,4.726720,4.746370,4.697230,4.716890,2.872516,49240825
2010-02-09,4.716890,4.756200,4.707060,4.746370,2.890470,49537885
2010-02-10,4.766020,4.785680,4.746370,4.775850,2.908422,52135527
2010-02-11,4.775850,4.785680,4.756200,4.775850,2.908422,38902339
2010-02-12,4.785680,4.834810,4.775850,4.824980,2.938342,68908902
2010-02-22,4.815160,4.834810,4.785680,4.795500,2.920389,49335012
2010-02-23,4.805330,4.805330,4.707060,4.746370,2.890470,67379768
2010-02-24,4.726720,4.766020,4.707060,4.746370,2.890470,142190236
2010-02-25,4.756200,4.815160,4.746370,4.795500,2.920389,184138702
2010-02-26,4.785680,4.815160,4.766020,4.785680,2.914409,78903193
2010-03-01,4.795500,4.834810,4.775850,4.824980,2.938342,130665949
2010-03-02,4.834810,4.854460,4.805330,4.824980,2.938342,97640062
2010-03-03,4.824980,4.844640,4.805330,4.844640,2.950315,79726814
2010-03-04,4.834810,4.844640,4.746370,4.756200,2.896456,87080160
2010-03-05,4.775850,4.795500,4.746370,4.756200,2.896456,57448480
2010-03-08,4.775850,4.785680,4.746370,4.775850,2.908422,55530011
2010-03-09,4.766020,4.864290,4.746370,4.824980,2.938342,124676896
2010-03-10,4.815160,4.874120,4.775850,4.795500,2.920389,77632515
2010-03-11,4.805330,4.874120,4.785680,4.815160,2.932361,127626806
2010-03-12,4.815160,4.844640,4.756200,4.775850,2.908422,79828820
2010-03-15,4.775850,4.775850,4.716890,4.746370,2.890470,62049342
2010-03-16,4.746370,4.785680,4.707060,4.736540,2.884483,91114789
2010-03-17,4.746370,4.795500,4.726720,4.795500,2.920389,92197171
2010-03-18,4.795500,4.795500,4.756200,4.775850,2.908422,86870443
2010-03-19,4.775850,4.785680,4.736540,4.775850,2.908422,71420802
2010-03-22,4.775850,4.815160,4.766020,4.785680,2.914409,100874662
2010-03-23,4.795500,4.805330,4.756200,4.766020,2.902436,68755533
2010-03-24,4.785680,4.824980,4.775850,4.795500,2.920389,86392495
2010-03-25,4.785680,4.795500,4.736540,4.785680,2.914409,82865508
2010-03-26,4.785680,4.864290,4.756200,4.815160,2.932361,167708056
2010-03-29,4.854460,4.962560,4.815160,4.923250,2.998187,301087291
2010-03-30,4.923250,4.942910,4.893770,4.933080,3.004173,114042171
2010-03-31,4.942910,4.942910,4.874120,4.893770,2.980234,87560977
2010-04-01,4.893770,4.942910,4.893770,4.933080,3.004173,92984985
2010-04-02,4.933080,4.942910,4.903600,4.923250,2.998187,86744371
2010-04-06,4.933080,4.962560,4.903600,4.913430,2.992207,118695518
2010-04-07,4.913430,4.923250,4.883940,4.903600,2.986220,94755406
2010-04-08,4.903600,4.903600,4.903600,4.903600,2.986220,0
2010-04-09,4.874120,4.903600,4.864290,4.883940,2.974248,119571208
2010-04-12,4.893770,4.903600,4.805330,4.834810,2.944328,146831046
2010-04-13,4.834810,4.923250,4.824980,4.903600,2.986220,165258068
2010-04-14,4.893770,4.903600,4.844640,4.864290,2.962281,102678302
2010-04-15,4.864290,4.883940,4.815160,4.864290,2.962281,81954045
2010-04-16,4.864290,4.864290,4.805330,4.815160,2.932361,81574959
2010-04-19,4.766020,4.766020,4.549830,4.579310,2.788733,308797637
2010-04-20,4.598970,4.608790,4.510520,4.530180,2.758813,165876624
2010-04-21,4.549830,4.579310,4.510520,4.569490,2.782752,129417328
2010-04-22,4.549830,4.549830,4.431910,4.500700,2.740860,222300829
2010-04-23,4.471220,4.500700,4.431910,4.471220,2.722907,123914138
2010-04-26,4.481040,4.490870,4.431910,4.451560,2.710935,82060317
2010-04-27,4.451560,4.451560,4.333640,4.382780,2.669049,152622225
2010-04-28,4.343470,4.402430,4.323810,4.402430,2.681015,127343557
2010-04-29,4.402430,4.481040,4.402430,4.412260,2.687001,116803881
2010-04-30,4.431910,4.461390,4.382780,4.461390,2.716921,148264929
2010-05-04,4.392600,4.422080,4.372950,4.412260,2.687001,98072548
2010-05-05,4.382780,4.431910,4.323810,4.422080,2.692982,89139669
2010-05-06,4.392600,4.392600,4.284510,4.323810,2.633137,125363828
2010-05-07,4.264850,4.372950,4.225550,4.313990,2.627156,121570184
2010-05-10,4.304160,4.353290,4.274680,4.353290,2.651090,73683568
2010-05-11,4.402430,4.422080,4.323810,4.353290,2.651090,136566317
2010-05-12,4.323810,4.540010,4.284510,4.481040,2.728888,210851309
2010-05-13,4.451560,4.559660,4.441740,4.500700,2.740860,173365068
2010-05-14,4.490870,4.490870,4.412260,4.451560,2.710935,85062659
2010-05-17,4.402430,4.412260,4.304160,4.313990,2.627156,97050950
2010-05-18,4.313990,4.313990,4.313990,4.313990,2.627156,0
2010-05-19,4.353290,4.392600,4.304160,4.313990,2.627156,131638425
2010-05-20,4.323810,4.392600,4.313990,4.333640,2.639123,82092011
2010-05-21,4.274680,4.402430,4.245200,4.382780,2.669049,110145503
2010-05-24,4.402430,4.490870,4.392600,4.471220,2.722907,137136991
2010-05-25,4.431910,4.471220,4.412260,4.422080,2.692982,113599567
2010-05-26,4.431910,4.471220,4.412260,4.441740,2.704955,132354117
2010-05-27,4.284510,4.294330,4.205890,4.294330,2.719259,111034367
2010-05-28,4.313990,4.323810,4.245200,4.255030,2.694373,70228813
2010-05-31,4.245200,4.264850,4.176410,4.186240,2.650814,90879572
2010-06-01,4.176410,4.196070,4.137100,4.156760,2.632147,100827362
2010-06-02,4.137100,4.156760,4.087970,4.137100,2.619698,83692189
2010-06-03,4.156760,4.196070,4.107620,4.146930,2.625922,83375609
2010-06-04,4.127280,4.146930,4.117450,4.146930,2.625922,33826260
2010-06-07,4.097800,4.107620,4.038840,4.048660,2.563695,57224702
2010-06-08,4.048660,4.068320,4.009360,4.029010,2.551252,47149710
2010-06-09,4.038840,4.156760,4.019180,4.127280,2.613479,119588789
2010-06-10,4.097800,4.107620,4.048660,4.068320,2.576144,58734203
2010-06-11,4.078140,4.127280,4.068320,4.097800,2.594812,52765708
2010-06-15,null,null,null,null,null,null
2010-06-17,4.117450,4.166580,4.107620,4.156760,2.632147,75564039
2010-06-18,4.146930,4.205890,4.087970,4.097800,2.594812,99180708
2010-06-21,4.127280,4.215720,4.097800,4.205890,2.663257,85607888
2010-06-22,4.196070,4.215720,4.166580,4.196070,2.657039,42970415
2010-06-23,4.176410,4.215720,4.127280,4.166580,2.638365,41380197
2010-06-24,4.156760,4.205890,4.137100,4.196070,2.657039,47918080
2010-06-25,4.176410,4.215720,4.166580,4.196070,2.657039,56928518
2010-06-28,4.196070,4.215720,4.156760,4.186240,2.650814,48939700
2010-06-29,4.186240,4.196070,4.038840,4.048660,2.563695,86992676
2010-06-30,4.029010,4.058490,3.950390,3.989700,2.526361,86436967
2010-07-01,3.979870,4.019180,3.960220,3.970050,2.513918,37652810
2010-07-02,3.979870,4.009360,3.940570,3.989700,2.526361,86413406
2010-07-05,3.970050,4.009360,3.950390,3.989700,2.526361,55709194
2010-07-06,3.979870,4.087970,3.970050,4.068320,2.576144,108911816
2010-07-07,4.068320,4.078140,4.029010,4.048660,2.563695,45153731
2010-07-08,4.068320,4.078140,4.029010,4.058490,2.569920,24463313
2010-07-09,4.058490,4.156760,4.019180,4.117450,2.607255,77080143
2010-07-12,4.117450,4.284510,4.087970,4.225550,2.675706,136601239
2010-07-13,4.205890,4.215720,4.166580,4.176410,2.644590,56622759
2010-07-14,4.176410,4.225550,4.127280,4.176410,2.644590,66966900
2010-07-15,4.166580,4.215720,4.107620,4.107620,2.601030,37265443
2010-07-16,4.097800,4.117450,4.048660,4.078140,2.582363,31370535
2010-07-19,4.068320,4.166580,4.038840,4.117450,2.607255,38266265
2010-07-20,4.137100,4.205890,4.127280,4.166580,2.638365,55290907
2010-07-21,4.176410,4.186240,4.127280,4.146930,2.625922,60966723
2010-07-22,4.137100,4.196070,4.127280,4.186240,2.650814,71073835
2010-07-23,4.196070,4.284510,4.176410,4.245200,2.688149,164808793
2010-07-26,4.255030,4.264850,4.205890,4.255030,2.694373,55177770
2010-07-27,4.225550,4.235370,4.205890,4.205890,2.663257,48697000
2010-07-28,4.205890,4.294330,4.176410,4.284510,2.713041,119442840
2010-07-29,4.264850,4.294330,4.245200,4.284510,2.713041,82611103
2010-07-30,4.264850,4.274680,4.225550,4.235370,2.681924,50888193
2010-08-02,4.225550,4.304160,4.215720,4.294330,2.719259,98491067
2010-08-03,4.284510,4.294330,4.215720,4.225550,2.675706,90732711
2010-08-04,4.205890,4.235370,4.186240,4.215720,2.669481,60373724
2010-08-05,4.205890,4.215720,4.127280,4.156760,2.632147,71196751
2010-08-06,4.156760,4.196070,4.117450,4.186240,2.650814,67999724
2010-08-09,4.176410,4.196070,4.146930,4.166580,2.638365,46228231
2010-08-10,4.166580,4.176410,4.087970,4.097800,2.594812,83376261
2010-08-11,4.087970,4.117450,4.078140,4.117450,2.607255,46379687
2010-08-12,4.087970,4.087970,4.038840,4.048660,2.563695,61026160
2010-08-13,4.048660,4.068320,4.029010,4.058490,2.569920,95954903
2010-08-16,4.048660,4.117450,4.029010,4.117450,2.607255,99070520
2010-08-17,4.107620,4.117450,4.078140,4.087970,2.588587,116428271
2010-08-18,4.097800,4.156760,4.058490,4.078140,2.582363,110122687
2010-08-19,4.087970,4.117450,4.068320,4.107620,2.601030,119401367
2010-08-20,4.097800,4.117450,4.068320,4.087970,2.588587,110976280
2010-08-23,4.078140,4.097800,4.058490,4.087970,2.588587,87436077
2010-08-24,4.078140,4.097800,4.038840,4.068320,2.576144,100827107
2010-08-25,4.058490,4.058490,3.999530,4.009360,2.538810,108572707
2010-08-26,4.019180,4.058490,4.019180,4.048660,2.563695,86948002
2010-08-27,4.058490,4.078140,4.019180,4.029010,2.551252,80789368
2010-08-30,4.058490,4.078140,4.038840,4.048660,2.563695,115941337
2010-08-31,4.019180,4.038840,3.999530,4.009360,2.538810,89699453
2010-09-01,4.009360,4.058490,3.999530,4.009360,2.538810,98548187
2010-09-02,4.038840,4.048660,4.009360,4.029010,2.551252,58931858
2010-09-03,4.029010,4.029010,3.999530,4.029010,2.551252,61764467
2010-09-06,4.029010,4.078140,4.029010,4.078140,2.582363,139900067
2010-09-07,4.078140,4.087970,4.038840,4.058490,2.569920,88262013
2010-09-08,4.038840,4.058490,3.999530,4.019180,2.545028,112261896
2010-09-09,4.019180,4.019180,3.970050,3.989700,2.526361,91614226
2010-09-10,3.989700,4.019180,3.960220,3.999530,2.532585,76847921
2010-09-13,3.999530,4.019180,3.979870,4.009360,2.538810,81743259
2010-09-14,4.009360,4.029010,3.960220,3.970050,2.513918,71555952
2010-09-15,3.970050,3.979870,3.940570,3.960220,2.507693,93850379
2010-09-16,3.960220,3.960220,3.881610,3.901260,2.470359,100393278
2010-09-17,3.911090,3.920910,3.871780,3.891430,2.464134,47410411
2010-09-20,3.891430,3.940570,3.891430,3.901260,2.470359,53911620
