Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.224900,7.268800,7.224900,7.260020,4.922400,2460490
2010-01-05,7.303910,7.382920,7.251240,7.356580,4.987869,11444696
2010-01-06,7.391700,7.409260,7.339030,7.391700,5.011681,10438857
2010-01-07,7.435590,7.672620,7.426810,7.628720,5.172383,18956026
2010-01-08,7.637500,7.681400,7.479490,7.593610,5.148578,13976951
2010-01-11,7.637500,7.672620,7.602390,7.646280,5.184289,8043296
2010-01-12,7.646280,7.646280,7.505820,7.523380,5.100960,11427609
2010-01-13,7.461930,7.461930,7.339030,7.365360,4.993821,10706549
2010-01-14,7.435590,7.523380,7.409260,7.479490,5.071203,10102818
2010-01-15,7.567270,7.567270,7.514600,7.514600,5.095008,7365523
2010-01-18,7.444370,7.549720,7.444370,7.497040,5.083102,4987049
2010-01-19,7.514600,7.549720,7.444370,7.461930,5.059296,7047709
2010-01-20,7.549720,7.549720,7.374140,7.391700,5.011681,6513464
2010-01-21,7.374140,7.426810,7.330250,7.330250,4.970016,5017805
2010-01-22,7.224900,7.260020,7.154670,7.224900,4.898588,10551629
2010-01-25,7.198570,7.233680,7.198570,7.216120,4.892634,6109078
2010-01-26,7.224900,7.295130,7.093220,7.102000,4.815259,7676501
2010-01-27,7.198570,7.312690,7.163450,7.163450,4.856925,12886817
2010-01-28,7.198570,7.312690,7.198570,7.286350,4.940251,5523572
2010-01-29,7.216120,7.347800,7.198570,7.347800,4.981915,9044579
2010-02-01,7.330250,7.505820,7.330250,7.497040,5.083102,7417922
2010-02-02,7.549720,7.611170,7.374140,7.391700,5.011681,9618694
2010-02-03,7.409260,7.505820,7.400480,7.453150,5.053344,4828712
2010-02-04,7.435590,7.444370,7.286350,7.286350,4.940251,4900476
2010-02-05,7.181010,7.198570,7.137110,7.181010,4.868829,10187112
2010-02-08,7.268800,7.277570,7.128340,7.233680,4.904540,5938211
2010-02-09,7.216120,7.321470,7.154670,7.321470,4.964063,4083730
2010-02-10,7.330250,7.347800,7.224900,7.286350,4.940251,2962840
2010-02-11,7.321470,7.330250,7.277570,7.312690,4.958110,1836255
2010-02-12,7.303910,7.330250,7.251240,7.321470,4.964063,3776169
2010-02-17,7.391700,7.409260,7.339030,7.391700,5.011681,3607580
2010-02-18,7.382920,7.409260,7.295130,7.356580,4.987869,1843089
2010-02-19,7.330250,7.365360,7.216120,7.365360,4.993821,5222846
2010-02-22,7.409260,7.435590,7.295130,7.321470,4.964063,3428738
2010-02-23,7.321470,7.400480,7.277570,7.400480,5.017632,4455082
2010-02-24,7.295130,7.391700,7.295130,7.365360,4.993821,2424038
2010-02-25,7.365360,7.391700,7.286350,7.339030,4.975969,2886519
2010-02-26,7.339030,7.400480,7.295130,7.382920,5.005727,5998584
2010-03-01,7.418030,7.426810,7.347800,7.409260,5.023586,4366231
2010-03-02,7.435590,7.444370,7.347800,7.391700,5.011681,3128012
2010-03-03,7.391700,7.444370,7.339030,7.365360,4.993821,3002709
2010-03-04,7.391700,7.435590,7.347800,7.435590,5.041438,4354840
2010-03-05,7.453150,7.461930,7.435590,7.461930,5.059296,3820594
2010-03-08,7.488260,7.576050,7.470710,7.514600,5.095008,7356410
2010-03-09,7.540940,7.567270,7.488260,7.488260,5.077149,6560168
2010-03-10,7.540940,7.576050,7.523380,7.540940,5.112868,4799095
2010-03-11,7.593610,7.646280,7.540940,7.619950,5.166437,4903893
2010-03-12,7.663840,7.786740,7.646280,7.751630,5.255718,8756383
2010-03-15,7.795520,7.856970,7.707730,7.813080,5.297382,6161477
2010-03-16,7.856970,7.900870,7.769180,7.892090,5.350952,7101248
2010-03-17,7.953540,8.111550,7.935980,8.076440,5.475944,10080035
2010-03-18,8.120330,8.129110,7.997430,8.041320,5.452132,7360966
2010-03-19,7.988650,8.032550,7.909640,7.918420,5.368804,3408234
2010-03-22,7.900870,7.962320,7.830640,7.874530,5.339046,2201911
2010-03-23,7.918420,8.058880,7.874530,8.041320,5.452132,4202198
2010-03-24,8.058880,8.076440,7.927200,7.927200,5.374756,3588215
2010-03-25,7.979870,7.997430,7.927200,7.971090,5.404515,1589066
2010-03-26,8.050100,8.067660,7.988650,8.032550,5.446186,3131429
2010-03-29,8.023770,8.173010,8.023770,8.173010,5.541420,3738578
2010-03-30,8.199340,8.234460,8.155450,8.225680,5.577132,2231528
2010-03-31,8.120330,8.155450,8.006210,8.006210,5.428327,7825725
2010-04-01,8.032550,8.322240,8.032550,8.287130,5.618795,4883389
2010-04-05,8.339800,8.427590,8.339800,8.392470,5.690217,3507337
2010-04-06,8.427590,8.427590,8.339800,8.383700,5.684271,2376195
2010-04-07,8.366140,8.401250,8.295910,8.322240,5.642600,3256732
