Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,1.640000,1.640000,1.620000,1.620000,1.139613,1186000
2010-01-05,1.630000,1.640000,1.620000,1.640000,1.153682,2174000
2010-01-06,1.640000,1.640000,1.620000,1.640000,1.153682,1520000
2010-01-07,1.620000,1.640000,1.600000,1.620000,1.139613,2375000
2010-01-08,1.620000,1.630000,1.600000,1.630000,1.146647,1734000
2010-01-11,1.620000,1.640000,1.620000,1.620000,1.139613,1364000
2010-01-12,1.620000,1.650000,1.620000,1.620000,1.139613,1807000
2010-01-13,1.620000,1.630000,1.600000,1.610000,1.132578,1238000
2010-01-14,1.620000,1.630000,1.610000,1.620000,1.139613,1684000
2010-01-15,1.640000,1.640000,1.620000,1.630000,1.146647,1152000
2010-01-18,1.630000,1.650000,1.620000,1.650000,1.160716,2773000
2010-01-19,1.650000,1.660000,1.640000,1.660000,1.167751,2411000
2010-01-20,1.670000,1.690000,1.610000,1.620000,1.139613,4093000
2010-01-21,1.620000,1.650000,1.610000,1.620000,1.139613,3322000
2010-01-22,1.610000,1.650000,1.610000,1.640000,1.153682,3997000
2010-01-25,1.630000,1.640000,1.620000,1.630000,1.146647,2188000
2010-01-26,1.630000,1.630000,1.600000,1.610000,1.132578,3197000
2010-01-27,1.620000,1.630000,1.590000,1.590000,1.118509,3391000
2010-01-28,1.580000,1.620000,1.580000,1.620000,1.139613,3226000
2010-01-29,1.610000,1.610000,1.590000,1.590000,1.118509,7628000
2010-02-01,1.580000,1.600000,1.570000,1.580000,1.111474,3302000
2010-02-02,1.580000,1.590000,1.560000,1.560000,1.097405,3587000
2010-02-03,1.570000,1.590000,1.570000,1.570000,1.104439,2768000
2010-02-04,1.560000,1.570000,1.560000,1.560000,1.097405,1231000
2010-02-05,1.540000,1.550000,1.520000,1.530000,1.076301,2789000
2010-02-08,1.530000,1.560000,1.530000,1.560000,1.097405,1760000
2010-02-09,1.550000,1.610000,1.540000,1.610000,1.132578,3293000
2010-02-10,1.600000,1.600000,1.570000,1.570000,1.104439,2106000
2010-02-11,1.580000,1.580000,1.550000,1.550000,1.090370,3312000
2010-02-12,1.560000,1.560000,1.520000,1.540000,1.083335,5728000
2010-02-17,1.560000,1.560000,1.530000,1.560000,1.097405,3344000
2010-02-18,1.550000,1.560000,1.540000,1.550000,1.090370,1265000
2010-02-19,1.550000,1.560000,1.540000,1.550000,1.090370,1333000
2010-02-22,1.560000,1.580000,1.550000,1.550000,1.090370,2320000
2010-02-23,1.550000,1.580000,1.540000,1.580000,1.111474,2756000
2010-02-24,1.550000,1.570000,1.550000,1.560000,1.097405,1276000
2010-02-25,1.570000,1.570000,1.540000,1.550000,1.090370,2007000
2010-02-26,1.560000,1.560000,1.540000,1.550000,1.090370,4321000
2010-03-01,1.550000,1.560000,1.540000,1.550000,1.090370,2285000
2010-03-02,1.560000,1.560000,1.550000,1.560000,1.097405,1139000
2010-03-03,1.550000,1.560000,1.540000,1.550000,1.090370,1762000
2010-03-04,1.540000,1.550000,1.540000,1.540000,1.083335,1578000
2010-03-05,1.550000,1.560000,1.530000,1.540000,1.083335,2998000
2010-03-08,1.550000,1.550000,1.530000,1.530000,1.076301,3557000
2010-03-09,1.530000,1.540000,1.520000,1.540000,1.083335,3649000
2010-03-10,1.540000,1.550000,1.540000,1.540000,1.083335,2423000
2010-03-11,1.550000,1.550000,1.540000,1.550000,1.090370,2361000
2010-03-12,1.560000,1.570000,1.540000,1.570000,1.104439,3028000
2010-03-15,1.570000,1.580000,1.560000,1.560000,1.097405,2003000
2010-03-16,1.560000,1.580000,1.550000,1.580000,1.111474,2958000
