Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.430000,6.480000,6.410000,6.430000,5.281929,4708000
2010-01-05,6.480000,6.680000,6.470000,6.640000,5.454432,21653000
2010-01-06,6.660000,6.800000,6.640000,6.790000,5.577649,10924000
2010-01-07,6.790000,6.850000,6.730000,6.760000,5.553008,6409000
2010-01-08,6.860000,7.010000,6.860000,6.900000,5.668011,12936000
2010-01-11,6.980000,7.140000,6.900000,7.110000,5.840514,11236000
2010-01-12,7.150000,7.290000,7.040000,7.170000,5.889803,14307000
2010-01-13,7.120000,7.170000,6.980000,7.040000,5.783013,7986000
2010-01-14,7.040000,7.120000,6.990000,7.040000,5.783013,3903000
2010-01-15,7.040000,7.150000,7.030000,7.110000,5.840514,5779000
2010-01-18,7.050000,7.120000,7.040000,7.070000,5.807657,2458000
2010-01-19,7.070000,7.110000,7.040000,7.070000,5.807657,3802000
2010-01-20,7.100000,7.120000,7.020000,7.020000,5.766584,4863000
2010-01-21,6.990000,7.000000,6.780000,6.800000,5.585865,14939000
2010-01-22,6.660000,6.720000,6.570000,6.660000,5.470862,11429000
2010-01-25,6.580000,6.740000,6.560000,6.690000,5.495506,4420000
2010-01-26,6.680000,6.910000,6.590000,6.650000,5.462647,11046000
2010-01-27,6.620000,6.640000,6.540000,6.550000,5.380503,9149000
2010-01-28,6.570000,6.780000,6.570000,6.650000,5.462647,6277000
2010-01-29,6.560000,6.640000,6.530000,6.590000,5.413361,8884000
2010-02-01,6.640000,6.690000,6.460000,6.510000,5.347645,10676000
2010-02-02,6.610000,6.620000,6.470000,6.500000,5.339430,6688000
2010-02-03,6.530000,6.650000,6.480000,6.550000,5.380503,6924000
2010-02-04,6.520000,6.590000,6.430000,6.450000,5.298358,5949000
2010-02-05,6.300000,6.350000,6.110000,6.110000,5.019063,16995000
2010-02-08,6.120000,6.200000,5.930000,6.020000,4.945134,11235000
2010-02-09,5.950000,6.250000,5.940000,6.250000,5.134066,7877000
2010-02-10,6.250000,6.370000,6.190000,6.300000,5.175140,7393000
2010-02-11,6.330000,6.370000,6.250000,6.300000,5.175140,3472000
2010-02-12,6.310000,6.380000,6.260000,6.280000,5.158710,2590000
2010-02-17,6.370000,6.430000,6.350000,6.400000,5.257284,4779000
2010-02-18,6.440000,6.450000,6.280000,6.310000,5.183354,4790000
2010-02-19,6.380000,6.400000,6.300000,6.390000,5.249071,5506000
2010-02-22,6.450000,6.500000,6.420000,6.450000,5.298358,3630000
2010-02-23,6.450000,6.620000,6.450000,6.580000,5.405147,5190000
2010-02-24,6.500000,6.600000,6.480000,6.500000,5.339430,4730000
2010-02-25,6.580000,6.580000,6.450000,6.500000,5.339430,2254000
2010-02-26,6.570000,6.580000,6.470000,6.500000,5.339430,4785000
