Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.812510,8.822220,8.744580,8.744580,6.287258,2447088
2010-01-05,8.773690,8.812510,8.754280,8.812510,6.336098,3533080
2010-01-06,8.793100,8.822220,8.744580,8.812510,6.336098,3211610
2010-01-07,8.812510,8.870750,8.696050,8.725170,6.273303,6785905
2010-01-08,8.725170,8.725170,8.618410,8.647520,6.217472,5178554
2010-01-11,8.647520,8.657230,8.521350,8.540760,6.140714,9517371
2010-01-12,8.540760,8.618410,8.521350,8.550470,6.147695,4639680
2010-01-13,8.531060,8.579580,8.463120,8.501940,6.112802,5393898
2010-01-14,8.560170,8.608700,8.501940,8.521350,6.126758,2862321
2010-01-15,8.521350,8.540760,8.463120,8.540760,6.140714,2773710
2010-01-18,8.511650,8.569880,8.482530,8.521350,6.126758,1886576
2010-01-19,8.501940,8.531060,8.443710,8.453410,6.077909,3378527
2010-01-20,8.511650,8.511650,8.375770,8.385480,6.029069,4323361
2010-01-21,8.424300,8.424300,8.288420,8.288420,5.959285,4895207
2010-01-22,8.171960,8.249600,8.113720,8.201070,5.896480,7007431
2010-01-25,8.104020,8.162250,8.104020,8.142840,5.854613,4925087
2010-01-26,8.133130,8.152550,7.958440,7.958440,5.722032,7375267
2010-01-27,7.958440,8.036080,7.841970,7.841970,5.638290,6148116
2010-01-28,7.871090,8.113720,7.871090,8.104020,5.826702,4024559
2010-01-29,8.055490,8.113720,7.919620,7.948730,5.715049,10858890
2010-02-01,7.939030,8.026380,7.939030,8.016670,5.763898,2517152
2010-02-02,8.094310,8.094310,7.948730,7.948730,5.715049,2722193
2010-02-03,7.987550,8.181660,7.968140,8.104020,5.826702,3177609
2010-02-04,8.094310,8.104020,8.006960,8.006960,5.756917,3400165
2010-02-05,7.871090,7.968140,7.841970,7.851680,5.645272,6105872
2010-02-08,7.929320,7.997260,7.871090,7.997260,5.749942,2033917
2010-02-09,7.909910,8.220480,7.909910,8.220480,5.910436,3752546
2010-02-10,8.249600,8.249600,8.094310,8.113720,5.833676,1818573
2010-02-11,8.152550,8.239890,8.152550,8.239890,5.924391,1911305
2010-02-12,8.249600,8.278720,8.162250,8.249600,5.931373,1694931
2010-02-17,8.414590,8.414590,8.201070,8.346650,6.001150,4228569
2010-02-18,8.278720,8.327240,8.230190,8.269010,5.945327,2087495
2010-02-19,8.298130,8.307830,8.152550,8.288420,5.959285,2439876
2010-02-22,8.375770,8.395180,8.307830,8.307830,5.973239,3793760
2010-02-23,8.230190,8.385480,8.230190,8.385480,6.029069,2698495
