Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,0.245000,0.245000,0.245000,0.245000,0.000001,372000
2010-01-05,0.250000,0.250000,0.245000,0.250000,0.000001,11392000
2010-01-06,0.250000,0.250000,0.245000,0.250000,0.000001,6348000
2010-01-07,0.250000,0.250000,0.245000,0.250000,0.000001,15449000
2010-01-08,0.245000,0.250000,0.235000,0.245000,0.000001,26989000
2010-01-11,0.250000,0.250000,0.245000,0.245000,0.000001,18136000
2010-01-12,0.250000,0.255000,0.245000,0.250000,0.000001,8230000
2010-01-13,0.250000,0.255000,0.250000,0.250000,0.000001,9439000
2010-01-14,0.255000,0.255000,0.250000,0.250000,0.000001,14633000
2010-01-15,0.250000,0.255000,0.250000,0.250000,0.000001,13173000
2010-01-18,0.250000,0.255000,0.245000,0.245000,0.000001,5167000
2010-01-19,0.250000,0.250000,0.245000,0.250000,0.000001,1235000
2010-01-20,0.250000,0.255000,0.250000,0.255000,0.000001,54439000
2010-01-21,0.255000,0.260000,0.250000,0.260000,0.000001,108725000
2010-01-22,0.255000,0.255000,0.250000,0.255000,0.000001,2507000
2010-01-25,0.250000,0.255000,0.250000,0.250000,0.000001,899000
2010-01-26,0.255000,0.255000,0.250000,0.250000,0.000001,5504000
2010-01-27,0.255000,0.255000,0.245000,0.245000,0.000001,7290000
2010-01-28,0.250000,0.255000,0.250000,0.255000,0.000001,1729000
2010-01-29,0.255000,0.260000,0.250000,0.260000,0.000001,5143000
2010-02-01,0.255000,0.255000,0.250000,0.250000,0.000001,4426000
2010-02-02,0.255000,0.260000,0.255000,0.255000,0.000001,5812000
2010-02-03,0.255000,0.260000,0.250000,0.255000,0.000001,850000
2010-02-04,0.255000,0.255000,0.250000,0.250000,0.000001,1773000
2010-02-05,0.250000,0.255000,0.250000,0.255000,0.000001,10295000
2010-02-08,0.250000,0.255000,0.245000,0.250000,0.000001,991000
2010-02-09,0.250000,0.250000,0.245000,0.250000,0.000001,41216000
2010-02-10,0.250000,0.250000,0.240000,0.250000,0.000001,16872000
2010-02-11,0.250000,0.255000,0.245000,0.250000,0.000001,18509000
2010-02-12,0.250000,0.255000,0.250000,0.255000,0.000001,4083000
2010-02-17,0.255000,0.255000,0.250000,0.250000,0.000001,6139000
2010-02-18,0.250000,0.250000,0.245000,0.250000,0.000001,4753000
2010-02-19,0.250000,0.250000,0.245000,0.250000,0.000001,236000
2010-02-22,0.255000,0.255000,0.245000,0.255000,0.000001,5842000
2010-02-23,0.250000,0.250000,0.245000,0.250000,0.000001,9907000
2010-02-24,0.245000,0.250000,0.245000,0.245000,0.000001,4484000
2010-02-25,0.245000,0.250000,0.245000,0.250000,0.000001,6433000
2010-02-26,0.250000,0.250000,0.245000,0.250000,0.000001,5081000
2010-03-01,0.250000,0.255000,0.250000,0.250000,0.000001,10050000
2010-03-02,0.255000,0.255000,0.250000,0.250000,0.000001,8237000
2010-03-03,0.250000,0.255000,0.250000,0.250000,0.000001,4284000
2010-03-04,0.255000,0.260000,0.250000,0.255000,0.000001,5502000
2010-03-05,0.260000,0.260000,0.255000,0.255000,0.000001,2696000
2010-03-08,0.260000,0.260000,0.255000,0.260000,0.000001,3155000
2010-03-09,0.260000,0.265000,0.255000,0.265000,0.000001,28240000
2010-03-10,0.265000,0.265000,0.260000,0.265000,0.000001,1295000
2010-03-11,0.265000,0.265000,0.260000,0.260000,0.000001,1606000
2010-03-12,0.265000,0.270000,0.265000,0.270000,0.000001,8261000
2010-03-15,0.265000,0.265000,0.260000,0.260000,0.000001,1648000
2010-03-16,0.265000,0.265000,0.260000,0.265000,0.000001,447000
2010-03-17,0.265000,0.270000,0.265000,0.270000,0.000001,1960000
2010-03-18,0.265000,0.275000,0.265000,0.265000,0.000001,20725000
2010-03-19,0.265000,0.275000,0.265000,0.275000,0.000001,26651000
2010-03-22,0.275000,0.280000,0.275000,0.275000,0.000001,10190000
2010-03-23,0.280000,0.280000,0.275000,0.280000,0.000001,6365000
2010-03-24,0.280000,0.280000,0.275000,0.275000,0.000001,6712000
2010-03-25,0.275000,0.280000,0.275000,0.280000,0.000001,10480000
2010-03-26,0.280000,0.280000,0.275000,0.275000,0.000001,6250000
2010-03-29,0.280000,0.280000,0.275000,0.280000,0.000001,10675000
2010-03-30,0.280000,0.280000,0.275000,0.280000,0.000001,1442000
2010-03-31,0.280000,0.295000,0.275000,0.295000,0.000001,31612000
2010-04-01,0.290000,0.295000,0.280000,0.280000,0.000001,16827000
2010-04-05,0.280000,0.285000,0.280000,0.285000,0.000001,4744000
2010-04-06,0.285000,0.290000,0.280000,0.285000,0.000001,1901000
2010-04-07,0.285000,0.285000,0.280000,0.280000,0.000001,2921000
2010-04-08,0.280000,0.285000,0.280000,0.280000,0.000001,919000
2010-04-09,0.280000,0.285000,0.280000,0.285000,0.000001,9141000
2010-04-12,0.285000,0.285000,0.275000,0.275000,0.000001,3538000
2010-04-13,0.280000,0.280000,0.275000,0.280000,0.000001,4280000
2010-04-14,0.280000,0.285000,0.275000,0.285000,0.000001,3323000
2010-04-15,0.285000,0.290000,0.285000,0.290000,0.000001,2537000
2010-04-16,0.290000,0.295000,0.290000,0.295000,0.000001,14677000
2010-04-19,0.290000,0.295000,0.290000,0.295000,0.000001,3877000
2010-04-20,0.295000,0.295000,0.290000,0.295000,0.000001,4454000
2010-04-21,0.290000,0.290000,0.285000,0.285000,0.000001,1999000
2010-04-22,0.285000,0.290000,0.280000,0.290000,0.000001,3978000
2010-04-23,0.285000,0.290000,0.285000,0.290000,0.000001,2035000
2010-04-26,0.290000,0.295000,0.285000,0.285000,0.000001,2584000
2010-04-27,0.290000,0.290000,0.280000,0.285000,0.000001,4520000
2010-04-28,0.285000,0.285000,0.280000,0.280000,0.000001,1848000
2010-04-29,0.280000,0.285000,0.280000,0.280000,0.000001,4311000
2010-04-30,0.285000,0.290000,0.285000,0.285000,0.000001,4262000
2010-05-03,0.285000,0.290000,0.285000,0.285000,0.000001,1967000
2010-05-04,0.280000,0.290000,0.280000,0.280000,0.000002,7446000
2010-05-05,0.280000,0.290000,0.280000,0.285000,0.000003,4330000
2010-05-06,0.285000,0.290000,0.285000,0.290000,0.000003,11762000
2010-05-07,0.290000,0.290000,0.285000,0.285000,0.000003,10787000
2010-05-10,0.285000,0.295000,0.285000,0.295000,0.000003,6151000
2010-05-11,0.295000,0.295000,0.290000,0.295000,0.000003,1457000
2010-05-12,0.290000,0.295000,0.290000,0.290000,0.000003,3412000
2010-05-13,0.290000,0.295000,0.285000,0.295000,0.000003,3647000
2010-05-14,0.290000,0.295000,0.290000,0.295000,0.000003,6283000
2010-05-17,0.290000,0.295000,0.285000,0.290000,0.000003,11165000
2010-05-18,0.290000,0.290000,0.285000,0.285000,0.000003,10441000
2010-05-19,0.285000,0.285000,0.280000,0.280000,0.000002,3264000
2010-05-20,0.275000,0.275000,0.275000,0.275000,0.000002,3425000
2010-05-21,0.275000,0.280000,0.265000,0.270000,0.000002,13708000
2010-05-24,0.270000,0.270000,0.265000,0.265000,0.000002,996000
2010-05-25,0.265000,0.275000,0.265000,0.275000,0.000002,8436000
2010-05-26,0.270000,0.270000,0.260000,0.265000,0.000002,5959000
2010-05-27,0.265000,0.275000,0.265000,0.270000,0.000002,2297000
2010-05-31,0.275000,0.275000,0.270000,0.270000,0.000002,699000
2010-06-01,0.270000,0.270000,0.260000,0.260000,0.000002,4640000
2010-06-02,0.265000,0.275000,0.260000,0.270000,0.000002,6290000
2010-06-03,0.275000,0.275000,0.265000,0.270000,0.000002,7774000
2010-06-04,0.270000,0.280000,0.270000,0.275000,0.000002,14331000
2010-06-07,0.270000,0.270000,0.265000,0.270000,0.000002,5303000
2010-06-08,0.275000,0.280000,0.275000,0.275000,0.000002,1057000
2010-06-09,0.275000,0.280000,0.270000,0.270000,0.000002,1733000
2010-06-10,0.270000,0.275000,0.270000,0.275000,0.000002,23336000
2010-06-11,0.280000,0.280000,0.275000,0.280000,0.000002,4552000
2010-06-14,0.280000,0.280000,0.275000,0.275000,0.000002,6002000
2010-06-15,0.275000,0.280000,0.275000,0.280000,0.000002,2312000
2010-06-16,0.280000,0.290000,0.275000,0.290000,0.000003,9811000
2010-06-17,0.290000,0.290000,0.280000,0.285000,0.000003,6346000
2010-06-18,0.285000,0.290000,0.280000,0.290000,0.000003,13212000
2010-06-21,0.290000,0.295000,0.285000,0.290000,0.000003,2867000
2010-06-22,0.285000,0.290000,0.285000,0.290000,0.000003,4957000
2010-06-23,0.290000,0.295000,0.285000,0.295000,0.000003,5169000
2010-06-24,0.290000,0.295000,0.290000,0.290000,0.000003,1957000
2010-06-25,0.290000,0.290000,0.285000,0.285000,0.000003,5493000
2010-06-28,0.285000,0.285000,0.285000,0.285000,0.000003,316000
2010-06-29,0.285000,0.285000,0.280000,0.280000,0.000002,860000
2010-06-30,0.285000,0.285000,0.280000,0.280000,0.000002,2741000
2010-07-01,0.280000,0.285000,0.280000,0.285000,0.000003,4027000
2010-07-02,0.280000,0.280000,0.275000,0.275000,0.000002,7049000
2010-07-05,0.280000,0.280000,0.275000,0.275000,0.000002,243000
2010-07-06,0.275000,0.280000,0.275000,0.280000,0.000002,2699000
2010-07-07,0.280000,0.290000,0.280000,0.285000,0.000003,2979000
2010-07-08,0.285000,0.290000,0.280000,0.285000,0.000003,4696000
2010-07-09,0.280000,0.290000,0.280000,0.290000,0.000003,4232000
2010-07-12,0.285000,0.290000,0.285000,0.285000,0.000003,993000
2010-07-13,0.285000,0.285000,0.280000,0.280000,0.000002,1963000
2010-07-14,0.285000,0.285000,0.280000,0.285000,0.000003,933000
2010-07-15,0.285000,0.285000,0.280000,0.280000,0.000002,1733000
2010-07-16,0.285000,0.285000,0.280000,0.280000,0.000002,1520000
2010-07-19,0.280000,0.285000,0.280000,0.285000,0.000003,905000
2010-07-20,0.285000,0.285000,0.280000,0.285000,0.000003,2248000
2010-07-21,0.280000,0.285000,0.280000,0.285000,0.000003,2595000
2010-07-22,0.285000,0.285000,0.280000,0.280000,0.000002,1554000
2010-07-23,0.280000,0.280000,0.275000,0.280000,0.000002,5281000
2010-07-26,0.280000,0.285000,0.280000,0.280000,0.000002,4735000
2010-07-27,0.280000,0.285000,0.280000,0.280000,0.000002,835000
2010-07-28,0.285000,0.290000,0.280000,0.285000,0.000003,5063000
2010-07-29,0.285000,0.285000,0.280000,0.285000,0.000003,5045000
2010-07-30,0.285000,0.285000,0.280000,0.285000,0.000003,3692000
