Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.110000,3.130000,3.090000,3.130000,2.009893,11659000
2010-01-05,3.160000,3.160000,3.080000,3.120000,2.003471,25150000
2010-01-06,3.110000,3.140000,3.090000,3.100000,1.990629,13382000
2010-01-07,3.100000,3.110000,3.010000,3.030000,1.945680,26989000
2010-01-08,3.040000,3.050000,3.010000,3.050000,1.958522,17903000
2010-01-11,3.060000,3.060000,3.020000,3.020000,1.939258,21861000
2010-01-12,3.020000,3.030000,2.970000,2.970000,1.907151,42581000
2010-01-13,2.960000,2.980000,2.950000,2.970000,1.907151,19207000
2010-01-14,2.980000,3.060000,2.980000,3.020000,1.939258,24858000
2010-01-15,3.040000,3.050000,3.010000,3.010000,1.932836,10979000
2010-01-18,3.000000,3.030000,3.000000,3.020000,1.939258,7172000
2010-01-19,3.020000,3.030000,2.980000,2.990000,1.919994,14535000
2010-01-20,3.010000,3.020000,2.990000,3.000000,1.926415,12833000
2010-01-21,2.990000,3.030000,2.990000,3.000000,1.926415,17576000
2010-01-22,2.970000,3.050000,2.970000,3.010000,1.932836,26676000
2010-01-25,3.010000,3.080000,3.010000,3.080000,1.977786,26572000
2010-01-26,3.060000,3.070000,3.000000,3.000000,1.926415,19296000
2010-01-27,3.000000,3.010000,2.960000,2.960000,1.900730,15814000
2010-01-28,2.970000,3.010000,2.970000,2.990000,1.919994,10330000
2010-01-29,2.980000,3.010000,2.950000,3.010000,1.932836,33066000
2010-02-01,3.000000,3.030000,2.980000,3.010000,1.932836,18460000
2010-02-02,3.020000,3.030000,2.960000,2.970000,1.907151,18593000
2010-02-03,2.980000,3.010000,2.960000,2.990000,1.919994,14511000
2010-02-04,2.970000,2.990000,2.970000,2.980000,1.913572,8486000
2010-02-05,2.950000,2.960000,2.900000,2.900000,1.862201,22378000
2010-02-08,2.900000,2.960000,2.900000,2.950000,1.894308,16708000
2010-02-09,2.970000,3.040000,2.960000,3.030000,1.945680,32183000
2010-02-10,3.040000,3.060000,3.020000,3.050000,1.958522,18459000
2010-02-11,3.060000,3.070000,3.050000,3.070000,1.971365,9714000
2010-02-12,3.060000,3.060000,3.020000,3.020000,1.939258,8158000
2010-02-17,3.000000,3.020000,2.980000,3.000000,1.926415,32541000
2010-02-18,3.000000,3.040000,3.000000,3.040000,1.952101,12579000
2010-02-19,3.040000,3.040000,2.990000,3.010000,1.932836,17166000
2010-02-22,3.040000,3.060000,3.020000,3.020000,1.939258,12295000
2010-02-23,3.020000,3.050000,3.000000,3.050000,1.958522,8931000
2010-02-24,3.020000,3.040000,3.000000,3.040000,1.952101,8740000
2010-02-25,3.040000,3.040000,3.000000,3.010000,1.932836,9077000
2010-02-26,3.020000,3.050000,3.000000,3.050000,1.958522,20529000
2010-03-01,3.050000,3.060000,3.040000,3.060000,1.964943,10479000
2010-03-02,3.070000,3.070000,3.040000,3.060000,1.964943,20079000
2010-03-03,3.060000,3.090000,3.050000,3.080000,1.977786,22978000
2010-03-04,3.090000,3.090000,3.050000,3.050000,1.958522,12963000
2010-03-05,3.070000,3.090000,3.060000,3.070000,1.971365,7712000
2010-03-08,3.100000,3.120000,3.090000,3.120000,2.003471,22877000
2010-03-09,3.130000,3.150000,3.120000,3.150000,2.022736,17053000
2010-03-10,3.150000,3.180000,3.150000,3.180000,2.042000,19508000
2010-03-11,3.190000,3.200000,3.130000,3.170000,2.035579,19523000
2010-03-12,3.180000,3.180000,3.130000,3.140000,2.016315,13587000
2010-03-15,3.150000,3.150000,3.100000,3.110000,1.997050,8116000
2010-03-16,3.120000,3.180000,3.110000,3.180000,2.042000,14166000
2010-03-17,3.190000,3.200000,3.170000,3.200000,2.054843,13965000
2010-03-18,3.180000,3.210000,3.160000,3.200000,2.054843,16159000
2010-03-19,3.210000,3.250000,3.190000,3.250000,2.086949,16026000
2010-03-22,3.230000,3.240000,3.170000,3.170000,2.035579,10733000
2010-03-23,3.190000,3.230000,3.180000,3.220000,2.067686,8422000
2010-03-24,3.250000,3.250000,3.180000,3.180000,2.042000,12151000
2010-03-25,3.180000,3.190000,3.150000,3.180000,2.042000,10030000
2010-03-26,3.180000,3.220000,3.170000,3.200000,2.054843,11939000
2010-03-29,3.210000,3.270000,3.200000,3.270000,2.099793,18004000
2010-03-30,3.280000,3.290000,3.230000,3.260000,2.093371,9998000
2010-03-31,3.230000,3.240000,3.170000,3.170000,2.035579,31369000
2010-04-01,3.190000,3.220000,3.180000,3.190000,2.048421,12075000
2010-04-05,3.190000,3.200000,3.160000,3.200000,2.054843,7455000
2010-04-06,3.210000,3.220000,3.190000,3.210000,2.061264,5926000
2010-04-07,3.200000,3.230000,3.180000,3.200000,2.054843,9399000
2010-04-08,3.190000,3.200000,3.140000,3.150000,2.022736,16491000
2010-04-09,3.150000,3.190000,3.140000,3.160000,2.029157,14529000
2010-04-12,3.160000,3.180000,3.150000,3.180000,2.042000,14876000
2010-04-13,3.150000,3.160000,3.130000,3.150000,2.022736,15244000
2010-04-14,3.160000,3.180000,3.140000,3.150000,2.022736,21512000
2010-04-15,3.160000,3.160000,3.090000,3.100000,1.990629,37785000
2010-04-16,3.100000,3.120000,3.090000,3.120000,2.003471,9677000
2010-04-19,3.100000,3.120000,3.080000,3.080000,1.977786,14137000
2010-04-20,3.090000,3.150000,3.090000,3.150000,2.022736,20917000
2010-04-21,3.140000,3.150000,3.110000,3.120000,2.003471,10259000
2010-04-22,3.120000,3.140000,3.090000,3.120000,2.003471,18187000
2010-04-23,3.100000,3.140000,3.070000,3.140000,2.016315,24041000
2010-04-26,3.150000,3.160000,3.100000,3.140000,2.016315,9593000
2010-04-27,3.120000,3.120000,3.080000,3.090000,1.984207,22272000
2010-04-28,3.070000,3.070000,3.000000,3.010000,1.932836,28289000
2010-04-29,3.020000,3.040000,3.000000,3.040000,1.952101,27005000
2010-04-30,3.050000,3.060000,3.030000,3.050000,1.958522,33607000
2010-05-03,3.010000,3.030000,3.000000,3.020000,1.939258,10050000
2010-05-04,3.030000,3.040000,2.960000,2.960000,1.900730,20859000
2010-05-05,2.930000,2.970000,2.930000,2.930000,1.881465,24621000
2010-05-06,2.940000,2.990000,2.920000,2.960000,1.900730,22439000
2010-05-07,2.920000,2.980000,2.900000,2.980000,1.913572,27547000
2010-05-10,2.980000,3.040000,2.930000,3.020000,1.939258,27021000
2010-05-11,3.000000,3.010000,2.970000,2.980000,1.913572,18514000
2010-05-12,2.980000,3.000000,2.950000,3.000000,1.926415,12813000
2010-05-13,3.020000,3.030000,2.940000,2.970000,1.907151,33673000
2010-05-14,2.960000,2.980000,2.950000,2.960000,1.900730,30845000
2010-05-17,2.930000,2.940000,2.900000,2.910000,1.868623,29017000
2010-05-18,2.930000,2.980000,2.910000,2.970000,1.907151,20757000
2010-05-19,2.930000,2.960000,2.910000,2.910000,1.868623,20042000
2010-05-20,2.930000,2.950000,2.910000,2.930000,1.881465,18553000
2010-05-21,2.870000,2.890000,2.850000,2.860000,1.836515,34220000
2010-05-24,2.860000,2.880000,2.830000,2.870000,1.842937,13939000
2010-05-25,2.830000,2.840000,2.750000,2.760000,1.772302,25503000
2010-05-26,2.810000,2.880000,2.800000,2.820000,1.810830,29361000
2010-05-27,2.850000,2.880000,2.820000,2.870000,1.842937,31792000
2010-05-31,2.900000,2.910000,2.870000,2.900000,1.862201,29788000
2010-06-01,2.880000,2.900000,2.860000,2.860000,1.836515,15098000
2010-06-02,2.860000,2.940000,2.860000,2.910000,1.868623,25925000
2010-06-03,2.950000,2.960000,2.920000,2.960000,1.900730,15006000
2010-06-04,2.960000,3.010000,2.950000,2.960000,1.900730,18113000
2010-06-07,2.900000,2.910000,2.880000,2.880000,1.849359,23431000
2010-06-08,2.890000,2.930000,2.880000,2.880000,1.849359,26852000
2010-06-09,2.880000,2.920000,2.870000,2.880000,1.849359,18739000
2010-06-10,2.900000,2.950000,2.890000,2.950000,1.894308,12000000
2010-06-11,2.960000,2.970000,2.920000,2.970000,1.907151,20874000
2010-06-14,2.960000,3.000000,2.960000,2.990000,1.919994,10015000
2010-06-15,2.990000,3.000000,2.970000,2.980000,1.913572,13015000
2010-06-16,3.010000,3.030000,3.000000,3.020000,1.939258,14181000
2010-06-17,3.030000,3.070000,3.030000,3.060000,1.964943,24063000
2010-06-18,3.060000,3.100000,3.060000,3.100000,1.990629,20876000
2010-06-21,3.120000,3.130000,3.100000,3.130000,2.009893,25775000
2010-06-22,3.100000,3.110000,3.030000,3.040000,1.952101,22819000
2010-06-23,3.030000,3.070000,3.020000,3.050000,1.958522,12229000
2010-06-24,3.080000,3.110000,3.010000,3.040000,1.952101,14744000
2010-06-25,3.040000,3.090000,3.010000,3.050000,1.958522,11461000
2010-06-28,3.040000,3.090000,3.030000,3.090000,1.984207,7368000
2010-06-29,3.100000,3.110000,3.020000,3.040000,1.952101,20966000
2010-06-30,2.990000,3.040000,2.980000,3.040000,1.952101,23067000
2010-07-01,3.020000,3.040000,3.000000,3.040000,1.952101,12634000
2010-07-02,3.040000,3.080000,3.040000,3.080000,1.977786,24777000
2010-07-05,3.070000,3.080000,3.040000,3.070000,1.971365,10503000
2010-07-06,3.030000,3.080000,3.030000,3.070000,1.971365,12016000
2010-07-07,3.070000,3.080000,3.030000,3.040000,1.952101,15596000
2010-07-08,3.070000,3.080000,3.050000,3.070000,1.971365,18152000
2010-07-09,3.080000,3.090000,3.050000,3.090000,1.984207,19053000
2010-07-12,3.090000,3.140000,3.080000,3.120000,2.003471,26999000
2010-07-13,3.140000,3.140000,3.110000,3.120000,2.003471,16888000
2010-07-14,3.150000,3.170000,3.130000,3.150000,2.022736,26228000
2010-07-15,3.120000,3.140000,3.100000,3.110000,1.997050,12468000
2010-07-16,3.120000,3.130000,3.100000,3.130000,2.009893,11108000
2010-07-19,3.100000,3.120000,3.070000,3.080000,1.977786,15743000
2010-07-20,3.090000,3.100000,3.060000,3.100000,1.990629,13246000
2010-07-21,3.090000,3.100000,3.060000,3.060000,1.964943,13677000
2010-07-22,3.050000,3.070000,3.040000,3.060000,1.964943,13861000
2010-07-23,3.080000,3.090000,3.050000,3.090000,1.984207,19986000
2010-07-26,3.090000,3.100000,3.070000,3.090000,1.984207,13815000
2010-07-27,3.100000,3.110000,3.090000,3.100000,1.990629,13470000
2010-07-28,3.090000,3.120000,3.090000,3.110000,1.997050,9095000
2010-07-29,3.110000,3.110000,3.070000,3.110000,1.997050,15755000
2010-07-30,3.130000,3.130000,3.080000,3.120000,2.003471,39367000
2010-08-02,3.140000,3.170000,3.130000,3.140000,2.016315,17617000
2010-08-03,3.160000,3.170000,3.140000,3.150000,2.022736,16679000
